Tract,Average,nVoxels
AverageFA,0.387441,112889
GCC,0.578664,1834
BCC,0.582289,3173
SCC,0.729089,2311
FX,0.340316,222
CST-R,0.545225,76
CST-L,0.614135,91
ML-R,0.452821,65
ML-L,0.426839,67
ICP-R,0.258286,96
ICP-L,0.315043,52
SCP-R,0.41634,197
SCP-L,0.432338,161
CP-R,0.614286,571
CP-L,0.514353,528
ALIC-R,0.470205,791
ALIC-L,0.438995,719
PLIC-R,0.648484,892
PLIC-L,0.635265,883
RLIC-R,0.480857,770
RLIC-L,0.523212,726
ACR-R,0.421453,1560
ACR-L,0.390218,1569
SCR-R,0.450932,1416
SCR-L,0.442203,1362
PCR-R,0.458523,760
PCR-L,0.446601,677
PTR-R,0.519066,1009
PTR-L,0.51385,978
SS-R,0.487736,646
SS-L,0.515698,648
EC-R,0.39014,1451
EC-L,0.366772,1445
CGC-R,0.488074,287
CGC-L,0.504009,307
CGH-R,0.411305,261
CGH-L,0.362599,263
FX/ST-R,0.42311,310
FX/ST-L,0.452769,396
SLF-R,0.458827,1770
SLF-L,0.448119,1733
SFO-R,0.435567,98
SFO-L,0.41099,95
IFO-R,0.346181,48
IFO-L,0.34957,40
UNC-R,0.497528,74
UNC-L,0.539831,51
